,city,company,salary,summary,title,parsed_salary
3116,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",Engineering Scientist - Geospatial Application Software Deve...,102498.0
3117,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3118,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
3120,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",Engineering Scientist - Geospatial Application Software Deve...,102498.0
3121,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3122,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
3124,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",Engineering Scientist - Geospatial Application Software Deve...,102498.0
3125,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3126,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
3128,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
