title,location,summary_review,review_score,movie_score,genre
Gunday,Bangladesh,""" gunday "" -   a rabish movie ",1,2,Action
Gunday,Bangladesh,protest against alteration of history of liberation war of bangladesh ,1,2,Action
Gunday,Dhaka,bad script ,1,2,Action
Gunday,UNKNOWN,a deliberate distortion of a bloody history ,1,2,Action
Gunday,Bangladesh,shame ,1,2,Action
Gunday,Bangladesh,strong protest against the humiliation of history ,1,2,Action
Gunday,"halle(saale), Germany",waste of time and money ,1,2,Action
Gunday,the film very good good good 10.10,very very good film ,10,2,Action
Gunday,Canada,false historical presentation ,1,2,Action
Gunday,Pakistan,indian need only entertain movie they do not know others be hearted   but they need entertainment ,2,2,Action
Gunday,Bangladesh,strongly protest ,1,2,Action
Gunday,Bangladesh,waste of time and energy ,1,2,Action
Gunday,Bangladesh,bangladesh be not a product of india - pakistan war ,1,2,Action
Gunday,"Dhaka, Bangladesh.",yash raj film be a big name but it do not mean that u can change our history ,1,2,Action
Gunday,"Dhaka, Bangladesh",the movie be send a wrong message regard the freedom war of bangladesh to it ' viewer ,1,2,Action
Gunday,Bangladesh,shame for all of culprit of this movie maker ,1,2,Action
Gunday,birmingham,protest ,1,2,Action
Gunday,UNKNOWN,manipulation of bangladesh history ,1,2,Action
Gunday,"Dhaka, Bangladesh",gunday humiliated history of bangladesh ,1,2,Action
Gunday,Italy,about the worng historical background ,1,2,Action
Gunday,"Savar, Dhaka, Bangladesh",""" gunday "" a movie which be the face of indian thought against liberation war of   bangladesh ",1,2,Action
Gunday,Bangladesh,manipulate history ,1,2,Action
Gunday,Dhaka,manipulation and misrepresentation of bangladesh 's liberation war and it ' armed force ,1,2,Action
Gunday,Bangladesh,at beginning of this movie they change the history of bangladesh ,1,2,Action
Gunday,Dhaka,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,"Dhaka, Bangladesh",historically inaccurate & offensive ,1,2,Action
Gunday,UNKNOWN,a movie full of lie and manipulation ,1,2,Action
Gunday,"Dhaka, Bangladesh",rubbish fairy(witch)tale ,1,2,Action
Gunday,Bangladesh,i strongly protest as a bangladeshi ,1,2,Action
Gunday,Bangladesh,it ' a mockery of pride and history of bangladesh ,1,2,Action
Gunday,United States of America,this movie should be sued and yash raj film should be take to the court of justice ,1,2,Action
Gunday,India,gunday- grow up yrf lame script and awful direction may help you   financially but be that enough ,4,2,Action
Gunday,"magdeburg, Germany",i strongly protest as a bangladeshi ,1,2,Action
Gunday,United Kingdom,corruption of history ,1,2,Action
Gunday,London,a film which tamper a country honor and independent ,2,2,Action
Gunday,Bangladesh,the big lie ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Paris,gunday - worst story ever but good actor ,1,2,Action
Gunday,Bangladesh,completely nonsense ,1,2,Action
Gunday,UNKNOWN,play video game ,1,2,Action
Gunday,Bangladesh,contains twisted international history ,1,2,Action
Gunday,dhaka,it give false information about liberation war of banglladesh ,1,2,Action
Gunday,Bangladesh,a close observation from a bangladeshi viewer ,2,2,Action
Gunday,"Dhaka, Bangladesh",wrong history ,1,2,Action
Gunday,dhaka,morality of the movie ,1,2,Action
Gunday,UNKNOWN,gunday the bad film ever make in history ,1,2,Action
Gunday,"Khulna, Bangladesh",misrepresentation of the history ( most importantly ) ,1,2,Action
Gunday,UNKNOWN,wrong history ,1,2,Action
Gunday,Bangladesh,only hate for this film and its associate ,1,2,Action
Gunday,"Nuernberg, Germany",manipulation of of the liberation war of bangladesh misleading fact overall disrespectful ,1,2,Action
Gunday,UNKNOWN,this be a total disgrace .... ,2,2,Action
Gunday,"New York, United States","insult bangladesh history,tradition by put fake story ",1,2,Action
Gunday,"Dhaka, Bangladesh",review ,1,2,Action
Gunday,"Dhaka, Bangladesh",wrong history lawra ,1,2,Action
Gunday,Bangladesh,rat -1.00 .... ... world most baddest movie ever   ... ,1,2,Action
Gunday,"dhaka, bangladesh",this film be pervert our liberation war ,1,2,Action
Gunday,"dhaka, Bangladesh",manipulate bangladesh 's liberation war history protest as a bangladeshi ,1,2,Action
Gunday,United States,bad movie ,1,2,Action
Gunday,UNKNOWN,pseudo - intellectualism ,2,2,Action
Gunday,"Sheffield, England",its such a shame for yrf ,1,2,Action
Gunday,Dhaka,yrf insult the history ,1,2,Action
Gunday,UNKNOWN,a movie be a work of fiction but when it use historical fact that should be accurate ,1,2,Action
Gunday,Bangladesh,false information about bangladesh 's liberation war ,1,2,Action
Gunday,UNKNOWN,rubbish storyline and base on false information about liberation war of bangladesh 1971 ,1,2,Action
Gunday,Bangladesh :),i protest against the idiocy of the movie ,1,2,Action
Gunday,Bangladesh,bullsit movie ,1,2,Action
Gunday,Japan,a movie base on fallacy and cheap business ,1,2,Action
Gunday,"Dhaka, Bangladesh",this be a slap on the face of all the people of bangladesh ,1,2,Action
Gunday,Bangladesh,manipulation of history ,1,2,Action
Gunday,Bangladesh,crap that crap crap ,1,2,Action
Gunday,"Mymensingh, Bangladesh",it ' manupulated the history ,1,2,Action
Gunday,Dhaka bangladesh,disgust ,1,2,Action
Gunday,UNKNOWN,very bad story a good try to temper the history ,1,2,Action
Gunday,"Bremen, Germany",insane title by manipulate the history ,1,2,Action
Gunday,United States,there ' nothing but distortion of great history ... such a nasty film ,1,2,Action
Gunday,United States,the bad movie in history for plot bangladesh history wrongly ,1,2,Action
Gunday,United States,indian people should know how to respect others ,1,2,Action
Gunday,United States,gunday be a rubbish and foul movie ,1,2,Action
Gunday,Pakistan,dear yashraj film authority greeting ,1,2,Action
Gunday,"Zanzibar, Tanzania",excellent act interesting plot stunning locale and cinematography ,10,2,Action
Gunday,UK,comedy film excellent ,10,2,Action
Gunday,India,gunday be daring attempt to come out this year ,2,2,Action
Gunday,United States,one of the bad hindi movie i have ever see ,1,2,Action
Gunday,Bangladesh,rotten tomatoo ,1,2,Action
Gunday,India,"misleading,fraudulent disrespectful to the sovereignty of a nation ",1,2,Action
Gunday,Bangladesh,protest ,1,2,Action
Gunday,Bangladesh,how bollywood release this kind of movie ,1,2,Action
Gunday,Dhaka,bad movie plot in the history of cinema ,1,2,Action
Gunday,Bangladesh,protest on present wrong history ,1,2,Action
Gunday,"Dhaka, Bangladesh",historically fraudulent laughable ... & offensive ( most importantly ) ,1,2,Action
Gunday,Kolkata,factually inaccurate and a total killjoy ,1,2,Action
Gunday,"Dhaka, Bangladesh",disturb and creepy foolish attempt and someone kill me before i get into a hate - group of hindustan cheesiness ,1,2,Action
Gunday,"Dhaka, Bangladesh",what if a movie on devyani khobragade would contain a storyline that she be actually a prostitute in the u ,1,2,Action
Gunday,"New York, United States",learn to respect ,1,2,Action
Gunday,"Sylhet, Bangladesh",show the proper respect to a nation ,1,2,Action
Gunday,Bangladesh,i be against you as a bangladeshi ,1,2,Action
Gunday,"Dhaka, Bangladesh",the intro be fake ,1,2,Action
Gunday,"Dhaka, Bangladesh",a movie base on false history ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,main story be a war between bangladesh and pakistan that be happen on 1971 but the movie director change the story and tell that war be between india and pakistan ,1,2,Action
Gunday,United Kingdom,fraud with history ,1,2,Action
Gunday,India,total masala movie which you just love to watch ,7,2,Action
Gunday,India,good fare though historically incorrect ,6,2,Action
Gunday,west midlands,rubbish act   ranveer singh arjun kapoor priyanka chopra waste of time poor ,1,2,Action
